gene	sample1	sample2
ENSG00000000003	9.58513777	12.44130567
ENSG00000000005	0.179396215	0.006899842
ENSG00000000419	23.01211012	22.22669572
ENSG00000000457	3.025962689	2.522587548
ENSG00000000460	1.212794308	0.618083407
ENSG00000000938	21.05748131	3.36715878
ENSG00000000971	49.43624215	20.18941288
ENSG00000001036	21.37742445	22.65102356
ENSG00000001084	5.991414796	4.738576542
ENSG00000001167	13.19552547	12.81688702
ENSG00000001460	1.76277818	1.60933896
ENSG00000001461	15.2986377	19.97424363
ENSG00000001497	7.599525516	8.964116072
ENSG00000001561	7.379570582	6.379587341
ENSG00000001617	6.210923787	16.21425761
ENSG00000001626	0.026375945	0.103039913
ENSG00000001629	7.707928756	6.831956728
ENSG00000001630	0.811358596	1.224307064
ENSG00000001631	6.546165816	6.027085628
ENSG00000002016	2.81475087	2.160770415
ENSG00000002079	0.012642605	0.003501023
ENSG00000002330	14.01675888	19.5313609
ENSG00000002549	48.02352142	27.9875832
ENSG00000002586	54.98342843	14.97177529
ENSG00000002587	0.632722301	0.553668828
ENSG00000002726	0.868598565	0.031955075
ENSG00000002745	0.221425871	0.010219638
ENSG00000002746	0.040215526	0.006363764
ENSG00000002822	5.983402746	5.515961045
ENSG00000002834	45.08376857	37.37264731
ENSG00000002919	7.49347065	7.076203466
ENSG00000002933	13.88746485	4.591657612
ENSG00000003056	30.73251947	27.12628141
ENSG00000003096	0.863997426	0.262486481
ENSG00000003137	0.780702437	0.520549417
ENSG00000003147	4.327267855	2.923115146
ENSG00000003249	4.457778964	3.654223291
ENSG00000003393	2.441513069	2.238010088
ENSG00000003400	6.033615031	4.017746008
ENSG00000003402	9.996250892	8.872598721
ENSG00000003436	5.777873132	0.47416536
ENSG00000003509	3.313798971	2.714051352
ENSG00000003756	13.41809168	9.434076876
ENSG00000003987	1.64068323	1.660847311
ENSG00000003989	28.79956655	26.51905716
ENSG00000004059	59.97308461	48.60892784
ENSG00000004139	0.73047673	0.635383967
ENSG00000004142	42.10087732	40.43876866
ENSG00000004399	21.26119021	19.69184375
